id,Branch,gender,Category,articleType,baseColour,season,year,usage,Product DisplayName, Price,Sales,review_score
85,Ho Chi Minh City,men,Flip Flops,Flip Flops,Brown,Summer,2019,Casual,Reebok Men Black Possession Flip Flops,357,274,4
86,Ha Noi,men,Jewellery,Pendant,Blue,Summer,2021,Casual,Lucera Women Silver Pendant,380,633,5
87,Ho Chi Minh City,women,Watches,Watches,Purple,Winter,2021,Casual,Maxima Men White Dial Analog Chronograph Watch,252,126,4
88,Ho Chi Minh City,women,Nails,Nail Polish,Brown,Spring,2020,Casual,Streetwear Ash Nail Polish # 31,396,732,2
89,Ho Chi Minh City,men,Bags,Laptop Bag,White,Summer,2022,Casual,Peter England Unisex Orange Sleeve Bag,184,562,5
90,Da Nang,women,Shoes,Sports Shoes,White,Summer,2018,Sports,Puma Men Axis White & Grey Sports Shoes,136,726,5
91,Ho Chi Minh City,men,Topwear,Tops,Blue,Summer,2021,Casual,Tonga Women Maroon Top,244,166,5
92,Ho Chi Minh City,women,Scarves,Scarves,Purple,Summer,2021,Casual,Femella Women Brown Scarf,413,544,4
93,Ha Noi,women,Topwear,Rain Jacket,Black,Summer,2018,Casual,Just Natural Unisex Charcoal Rain Jacket,386,395,2
94,Da Nang,women,Topwear,Tshirts,White,Summer,2022,Casual,ADIDAS Men's Twelve Faster T-shirt,279,526,4
95,Ho Chi Minh City,women,Dress,Dresses,Brown,Summer,2019,Casual,Arrow Woman Women Blue Dress,359,683,1
96,Ho Chi Minh City,women,Innerwear,Briefs,Purple,Summer,2019,Casual,Levis Men Red Brief,179,92,2
97,Ho Chi Minh City,men,Sandal,Sandals,Blue,Summer,2020,Casual,Ganuchi Men Casual Black Sandals,201,149,1
98,Ha Noi,women,Loungewear and Nightwear,Night suits,Purple,Summer,2019,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,381,682,5
99,Ha Noi,men,Topwear,Tshirts,Purple,Summer,2021,Casual,Indigo Nation Men Printed Black T-shirt,243,240,5
100,Kontum,men,Fragrance,Perfume and Body Mist,Blue,Spring,2021,Casual,DKNY Women Red Delicious Perfume,494,516,2
101,Ho Chi Minh City,women,Bottomwear,Skirts,Purple,Summer,2021,Sports,Urban Yoga Women Blue Skirt With Leggings,355,495,5
102,Kontum,men,Topwear,Tops,Black,Summer,2018,Casual,Gini and Jony Girls Black Top,144,332,2
103,Ha Noi,men,Shoes,Casual Shoes,Silver,Fall,2021,Casual,Nike Men Air Rift MTR White Casual Shoe,288,220,3
104,Ho Chi Minh City,women,Shoes,Sports Shoes,Purple,Summer,2021,Sports,ADIDAS Men White Corona Sports Shoes,177,238,5
105,Da Nang,women,Watches,Watches,Blue,Winter,2021,Casual,Fastrack Unisex Black Dial Watch 9915PP13,119,617,5
106,Da Nang,women,Shoes,Casual Shoes,Black,Summer,2021,Casual,Vans Men Blue Era Scilla Plaid Shoes,205,535,5
107,Ho Chi Minh City,women,Flip Flops,Flip Flops,Purple,Summer,2020,Casual,Crocs Kids Navy Blue Clogs,188,349,2
108,Ha Noi,men,Topwear,Tshirts,Purple,Fall,2020,Casual,Classic Polo Men Vulcan White Polo Tshirts,435,499,2
109,Da Nang,women,Shoes,Sports Shoes,White,Fall,2020,Sports,Fila Men Destiny Grey Sports Shoes,493,107,1
110,Da Nang,men,Shoes,Sports Shoes,Silver,Summer,2018,Sports,ADIDAS Men Blue Chill Sports Shoes,389,594,5
111,Da Nang,women,Topwear,Shirts,Silver,Fall,2021,Casual,Turtle Check Men Yellow Shirt,282,376,3
112,Ha Noi,women,Wallets,Wallets,Black,Summer,2018,Casual,Arrow Men Black Wallet,398,646,4
113,Ha Noi,women,Shoes,Heels,White,Winter,2021,Casual,Catwalk Women Gun Metal Grey Heels,272,226,1
114,Kontum,women,Wallets,Wallets,Blue,Summer,2019,Casual,United Colors of Benetton Women Solid Beige Wallets,466,594,5
115,Ho Chi Minh City,women,Sandal,Sandals,Silver,Summer,2022,Casual,Lotto Men Ridge Brown Sandals,167,637,5
116,Ha Noi,men,Topwear,Shirts,Purple,Fall,2021,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,352,577,3
117,Kontum,women,Innerwear,Briefs,Black,Summer,2019,Casual,Jockey ELANCE Men Bikini White Brief 1005,469,156,5
118,Ha Noi,women,Topwear,Blazers,Silver,Summer,2021,Formal,Scullers For Her Charcoal Blazer,288,717,2
119,Kontum,women,Bottomwear,Jeans,Blue,Summer,2018,Casual,Jealous 21 Women Black Jeans,161,753,4
120,Da Nang,women,Flip Flops,Flip Flops,Blue,Winter,2021,Casual,iPanema Women Red Flip Flops,400,742,4
121,Da Nang,men,Bags,Handbags,White,Summer,2022,Casual,Fabindia Women Blue Silk Sling Bag,444,631,1
122,Ha Noi,women,Shoes,Flats,Brown,Spring,2022,Casual,Carlton London Women Silver Wedge Sandal,384,213,1
123,Ho Chi Minh City,women,Topwear,Kurtas,Purple,Summer,2020,Ethnic,Sushilas Women Printed Green Kurta,459,126,2
124,Ho Chi Minh City,women,Jewellery,Ring,White,Summer,2022,Casual,Lucera Women Silver Ring,451,743,5
125,Ha Noi,men,Topwear,Tshirts,Brown,Fall,2018,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,302,604,2
126,Da Nang,women,Watches,Watches,Blue,Winter,2022,Casual,ADIDAS Unisex Three Small Dials White Watches,155,116,1
127,Ha Noi,women,Eyewear,Sunglasses,Purple,Winter,2021,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,110,697,2
128,Da Nang,men,Shoes,Sports Shoes,White,Fall,2019,Sports,ADIDAS Kids Adispeed Black Sports Shoes,320,322,2
129,Ho Chi Minh City,men,Topwear,Shirts,Brown,Fall,2020,Casual,Scullers Men  Green Check Shirt,187,497,4
130,Da Nang,men,Sandal,Sandals,Silver,Fall,2022,Casual,Puma Men Fashion Cat White Slipper,306,530,4
131,Kontum,women,Watches,Watches,White,Winter,2021,Casual,Fastrack Men Economy 2 Analg Black Watch,488,549,5
132,Da Nang,women,Topwear,Sweatshirts,Brown,Fall,2021,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,361,446,3
133,Kontum,men,Topwear,Tshirts,Blue,Fall,2020,Sports,Puma Men's Large Logo Graphic Black T-shirt,136,156,2
134,Ha Noi,men,Fragrance,Perfume and Body Mist,White,Spring,2021,Casual,Giorgio Armani Women Idole Perfume,413,779,2
135,Ha Noi,women,Apparel Set,Kurta Sets,White,Summer,2020,Ethnic,Aneri Women Black & Maroon Salwar Suit,218,552,3
136,Da Nang,women,Bags,Clutches,Blue,Winter,2020,Casual,Spice Art Women Ribbon Embroidery Red Clutch,449,606,1
137,Ho Chi Minh City,women,Sandal,Sandals,Blue,Fall,2021,Casual,Estd. 1977 Men Beige & Green Sandals,228,351,5
138,Ho Chi Minh City,women,Bags,Handbags,Purple,Summer,2018,Casual,Rocky S Women Brown Handbag,149,383,5
139,Ha Noi,men,Sandal,Sandals,Black,Summer,2021,Casual,Coolers Men Black Sandals,410,287,2
140,Kontum,women,Topwear,Shirts,Blue,Fall,2018,Casual,Levis Men Check Red Shirts,329,350,3
141,Da Nang,women,Topwear,Shrug,Brown,Summer,2022,Casual,Tonga Women Pink Printed Shrug,120,135,5
142,Da Nang,women,Innerwear,Briefs,Blue,Summer,2018,Casual,Chromozome Men Grey Briefs,168,535,2
143,Ho Chi Minh City,men,Topwear,Tshirts,Purple,Fall,2022,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,180,91,5
144,Ho Chi Minh City,men,Shoes,Flats,Silver,Winter,2021,Casual,Portia Women Copper-Toned & Brown Sandals,204,208,5
145,Kontum,men,Topwear,Shirts,Purple,Summer,2021,Casual,Spykar Men Black and white Check Shirt,103,277,4
146,Kontum,women,Bags,Backpacks,Purple,Fall,2018,Sports,Nike Unisex Swoosh Black Backpack,300,584,4
147,Kontum,women,Topwear,Tshirts,Brown,Summer,2018,Casual,Myntra Men's Brain Black T-shirt,192,693,1
148,Ha Noi,women,Shoes,Sports Shoes,Brown,Summer,2019,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,289,131,4
149,Ha Noi,men,Shoes,Casual Shoes,Purple,Fall,2020,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,209,730,5
150,Kontum,women,Watches,Watches,Brown,Winter,2019,Casual,Fastrack Women White Dial Watch,303,227,3
151,Ho Chi Minh City,women,Jewellery,Bracelet,White,Summer,2018,Casual,Revv Men Steel Bracelet,362,674,5
152,Ha Noi,men,Innerwear,Bra,Blue,Summer,2020,Casual,Lovable Women All Day Long Black Bra,251,677,1
153,Kontum,women,Headwear,Caps,White,Fall,2018,Casual,Manchester United Men Solid White Cap,328,537,5
154,Ha Noi,women,Shoes,Heels,Silver,Winter,2018,Casual,Rocia Women Black Heels,143,289,5
155,Da Nang,women,Topwear,Tshirts,Black,Fall,2019,Casual,Puma Men ducati logo tee Yellow Tshirts,413,693,3
156,Ha Noi,women,Shoes,Casual Shoes,Blue,Fall,2020,Casual,Numero Uno Men White Casual Shoes,450,545,5
157,Da Nang,women,Watches,Watches,Purple,Winter,2022,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,308,518,4
158,Ho Chi Minh City,men,Innerwear,Innerwear Vests,Blue,Summer,2020,Casual,Levis Men White Innerwear Vest,455,362,5
159,Da Nang,women,Watches,Watches,White,Winter,2021,Casual,Maxima Men Black Dial Watch,247,116,5
160,Da Nang,women,Topwear,Tshirts,Black,Summer,2018,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,478,116,5
161,Ha Noi,men,Topwear,Tshirts,Blue,Fall,2020,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,450,630,5
162,Da Nang,men,Saree,Sarees,Blue,Fall,2019,Ethnic,FNF Green Wedding Collection Sari,435,457,4
163,Kontum,women,Shoes,Casual Shoes,Blue,Fall,2022,Casual,Rockport Men LLandro Red Casual Shoes,448,186,3
164,Da Nang,women,Shoes,Casual Shoes,Black,Winter,2021,Casual,Skechers Women Green Shoe,306,417,3
165,Ha Noi,men,Watches,Watches,Silver,Winter,2019,Casual,Maxima Men Ssteele Silver Dial Watch,477,694,3
166,Kontum,women,Watches,Watches,Brown,Winter,2018,Casual,Titan Men Gold Dial Watch,264,731,1
167,Da Nang,women,Bottomwear,Trousers,Blue,Fall,2020,Formal,John Miller Men Solid Type Black Trousers,273,180,5
168,Da Nang,women,Topwear,Tshirts,White,Summer,2020,Casual,Locomotive Men Navy Blue Printed T-shirt,296,775,4
169,Ho Chi Minh City,men,Watches,Watches,Purple,Winter,2021,Casual,Maxima Men Brown Dial Watch,449,448,5
170,Ha Noi,women,Topwear,Sweatshirts,White,Fall,2018,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,114,311,5
171,Kontum,men,Shoes,Flats,Brown,Winter,2022,Casual,Catwalk Women Brown Sandals,489,349,5
172,Da Nang,men,Fragrance,Perfume and Body Mist,White,Spring,2021,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,280,713,4
173,Da Nang,women,Bags,Handbags,White,Winter,2018,Casual,Kiara Women Graphiti White Handbag,450,550,4
174,Da Nang,women,Eyewear,Sunglasses,Brown,Winter,2021,Casual,Louis Philippe Men Grey Sunglasses,247,317,5
175,Ho Chi Minh City,men,Topwear,Shirts,Black,Fall,2022,Casual,Mark Taylor Men Striped Blue Shirt,367,653,5
176,Kontum,women,Jewellery,Earrings,White,Winter,2021,Ethnic,Fabindia Women Anusuya Silver Earrings,129,764,2
177,Ha Noi,women,Shoes,Casual Shoes,Blue,Summer,2018,Casual,Lotto Unisex Canvas Black Check Shoe,183,225,2
178,Kontum,women,Belts,Belts,Purple,Summer,2021,Casual,Peter England Men Casual Tan Belt,435,142,2
179,Kontum,women,Shoes,Formal Shoes,White,Fall,2022,Formal,Arrow Men Formal Black Shoe,373,328,1
180,Ha Noi,men,Belts,Belts,Purple,Winter,2021,Casual,Lino Perros Women Weaved  Grey Belt,487,400,4
181,Kontum,men,Topwear,Tops,Blue,Summer,2018,Casual,Lee Women Paula Blue Top,459,332,1
182,Ho Chi Minh City,women,Shoes,Casual Shoes,Brown,Summer,2021,Casual,Vans Unisex Black & Grey Classic Shoes,377,755,5
183,Kontum,men,Topwear,Shirts,White,Fall,2022,Casual,United Colors of Benetton Men Short Black Shirts,318,134,5
184,Da Nang,women,Fragrance,Deodorant,Silver,Spring,2022,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,363,235,2
185,Da Nang,men,Topwear,Tshirts,Purple,Summer,2021,Casual,Nike Men Printed Black T-shirt,448,542,1
186,Ho Chi Minh City,women,Lips,Lipstick,Purple,Spring,2020,Casual,Colorbar Soft Touch Mousse Lipstick 025,132,133,4
187,Ho Chi Minh City,men,Bags,Handbags,Black,Winter,2020,Casual,Murcia Women Casual Brown Handbag,385,233,1
188,Da Nang,women,Bottomwear,Trousers,Purple,Summer,2020,Casual,ONLY Women directoire blue Trousers,228,659,5
189,Ho Chi Minh City,men,Fragrance,Deodorant,Brown,Spring,2020,Casual,Colour me Women Flowers Deo,356,606,4
190,Ha Noi,men,Topwear,Tops,Black,Summer,2022,Casual,Gini and Jony Girls Pretty Blossom Blue Top,342,189,3
191,Kontum,women,Shoes,Formal Shoes,Blue,Fall,2019,Formal,Carlton London Men Formal Brown Formal Shoes,130,444,5
192,Ha Noi,women,Topwear,Kurtas,Silver,Summer,2018,Ethnic,Vishudh Women Red Printed Kurta,130,595,3
193,Kontum,men,Watches,Watches,Purple,Winter,2019,Sports,ADIDAS Unisex Response ST Analogue Black Watch,176,775,1
194,Ho Chi Minh City,women,Topwear,Tops,Blue,Fall,2021,Casual,s.Oliver Women Stripes Beige Top,432,653,5
195,Ho Chi Minh City,men,Bottomwear,Shorts,Black,Fall,2021,Sports,Nike Women Solid Pink Shorts,184,424,1
196,Kontum,women,Innerwear,Camisoles,White,Winter,2022,Casual,Red Rose Maroon Camisole,385,375,2
197,Ho Chi Minh City,women,Innerwear,Boxers,Purple,Summer,2020,Casual,Probase Multicoloured Printed Boxers,169,404,5
198,Ho Chi Minh City,men,Topwear,Tshirts,White,Fall,2022,Casual,Classic Polo Men Stripes Blue Tshirts,238,795,4
199,Ho Chi Minh City,women,Bags,Handbags,Blue,Summer,2020,Casual,Baggit Women Blue Bag,105,307,5
200,Kontum,men,Topwear,Tshirts,Silver,Summer,2018,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,288,698,2
201,Ha Noi,women,Topwear,Tops,Brown,Fall,2022,Casual,Doodle Kids Girls Pink I love Shopping Top,489,504,1
202,Da Nang,women,Shoes,Sports Shoes,Purple,Fall,2021,Sports,Lotto Men Atlantica Black Sports Shoe,197,568,2
203,Ho Chi Minh City,women,Topwear,Tshirts,Blue,Fall,2018,Casual,Little Miss Women Printed Grey T-shirt,360,187,4
204,Ho Chi Minh City,women,Bags,Backpacks,Blue,Summer,2018,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,367,131,5
205,Ha Noi,women,Bottomwear,Jeans,Blue,Fall,2021,Casual,Jealous 21 Women Black Jegging,114,638,4
206,Da Nang,women,Shoes,Sports Shoes,Purple,Fall,2018,Sports,ADIDAS Men Sports Black Sports Shoes,206,198,5
207,Kontum,men,Topwear,Kurtas,Blue,Fall,2021,Ethnic,Mother Earth Women Magenta Kurta,129,443,5
208,Ho Chi Minh City,women,Flip Flops,Flip Flops,White,Summer,2019,Casual,Numero Uno Men Black Flip Flops,398,85,1
209,Ha Noi,women,Bags,Handbags,Brown,Winter,2019,Casual,Murcia Women Snake Print Bag Brown Handbags,202,556,5
210,Da Nang,women,Topwear,Tshirts,Black,Summer,2018,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,412,156,5
211,Ha Noi,women,Jewellery,Jewellery Set,White,Winter,2018,Casual,Estelle Women Earrings & Pendant Set,215,715,5
212,Kontum,women,Topwear,Dupatta,Brown,Fall,2022,Ethnic,Aurelia Women Voile Orange Dupatta,469,323,5
213,Da Nang,men,Watches,Watches,Black,Winter,2019,Casual,DKNY Women White Dial Watch NY8472,497,726,4
214,Ho Chi Minh City,women,Bottomwear,Track Pants,Black,Fall,2018,Sports,ADIDAS Men Solid Navy Blue Track Pant,380,336,1
215,Ha Noi,women,Bottomwear,Capris,White,Summer,2021,Casual,Gini and Jony Girls Black Capris,388,432,5
216,Kontum,men,Flip Flops,Flip Flops,Purple,Summer,2021,Casual,Gliders Men Esquire Red Flip Flops,124,260,1
217,Da Nang,women,Shoes,Sports Shoes,Brown,Summer,2019,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,113,540,3
218,Ha Noi,men,Innerwear,Bra,Brown,Summer,2022,Casual,Enamor White Bra,180,250,3
219,Ha Noi,women,Bottomwear,Shorts,Brown,Fall,2022,Casual,Gini and Jony Kids Boys Solid Black Shorts,204,217,1
220,Ha Noi,women,Shoes,Sports Shoes,White,Fall,2020,Casual,F Sports Men White Outlander Sports Shoes,127,288,5
221,Kontum,men,Lips,Lip Gloss,White,Spring,2020,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,122,627,5
222,Ho Chi Minh City,women,Bottomwear,Trousers,Purple,Summer,2021,Formal,John Miller Men Dark Grey Trousers,274,166,3
223,Da Nang,women,Topwear,Tshirts,Black,Summer,2021,Casual,Tantra Women Flower Heart Black Long T-shirt,292,389,1
